CDSStatus	Multi
Gene	Start	Stop	Product	
LMP2B	1	1	terminal_protein_LMP2B
BNRF1	1	1	putative_nmembrane_antigen_p140
BCRF1	1	1	BCRF1_protein_precursor
BCRF2	1	1	hypothetical_protein_BCRF2
EBNA-LP	1	1	EBNA-LP_protein
BWRF1	1	1	hypothetical_protein_BWRF1
BYRF1	1	1	EBNA-2_nuclear_protein
BHLF1	1	1	BHLF1_early_reading_frame
BHRF1	1	1	hypothetical_protein
BFLF2	1	1	BFLF2_protein
BFLF1	1	1	hypothetical_protein
BFRF1A	1	1	BFRF1A_protein
BFRF1	1	1	BFRF1_protein
BFRF2	1	1	hypothetical_protein
BFRF3	1	1	capsid_protein_VP26
BPLF1	1	1	large_tegument_protein
BOLF1	1	1	capsid_assembly_protein
BORF1	1	1	putative_capsid_protein_VP19C
BORF2	1	1	ribonucleoside-diphosphate_reductase_largechain
BaRF1	1	1	ribonucleoside-diphosphate_reductase_smallchain
BMRF1	1	1	early_antigen_protein_D
BMRF2	1	1	BMRF2_protein
BSLF2_BMLF1	1	1	ICP27_homolog
BMLF1	1	1	BMLF1_protein
BSLF2	1	1	BSLF2_protein
BSLF1	1	1	helicase/primase_complex_protein
BSRF1	1	1	BSRF1_protein
BLLF3	1	1	deoxyuridine_5''-triphosphatenucleotidohydrolase
BLRF1	1	1	putative_membrane_protein_BLRF1
BLRF2	1	1	putative_BLRF2_protein
BLLF1	1	1	envelope_glycoprotein_gp350
BLLF2	1	1	putative_BLLF2_protein
EBNA3A	1	1	EBNA3A_nuclear_protein
EBNA3B	1	1	EBNA-3B_nuclear_protein
EBNA3C	1	1	EBNA3C_latent_protein
BZLF2	1	1	putative_BZLF2_protein
BZLF1	1	1	hypothetical_protein
BRLF1	1	1	hypothetical_protein
BRRF1	1	1	putative_BRRF1_protein
BRRF2	1	1	putative_BRRF2_protein
BKRF1	1	1	EBNA-1_protein
BKRF2	1	1	glycoprotein_L_precursor
BKRF3	1	1	uracil-DNA_glycosylase
BKRF4	1	1	putative_BKRF4_protein
BBLF4	1	1	putative_helicase
BBRF1	1	1	virion_protein_BBRF1
BBRF2	1	1	BBRF2_protein
BBLF2-BBLF3	1	1	putative_BBLF3_protein
BBRF3	1	1	glycoprotein_M
BBLF1	1	1	putative_protein_BBLF1
BGLF5	1	1	alkaline_exonuclease
BGLF4	1	1	BGLF4_protein
BGLF3.5	1	1	BGLF3.5_protein
BGLF3	1	1	BGLF3_protein
BGRF1_BDRF1	1	1	BGRF1-BDRF1_protein
BGLF2	1	1	BGLF2_protein
BGLF1	1	1	BGLF1_protein
BDLF4	1	1	BDLF4_protein
BDLF3	1	1	putative_membrane_antigen_gp85
BDLF2	1	1	BDLF2_protein
BDLF1	1	1	putative_capsid_protein_vp23
BcLF1	1	1	major_capsid_protein
BcRF1	1	1	BcRF1_protein
BTRF1	1	1	BTRF1_protein
BXLF2	1	1	glycoprotein_gp85_precursor
BXLF1	1	1	thymidine_kinase
BXRF1	1	1	BXRF1_protein
BVRF1	1	1	virion_protein_BVRF1
BVLF1	1	1	BVLF1
BVRF2	1	1	capsid_protein_P40
BdRF1	1	1	scaffold_protein
BILF2	1	1	probable_membrane_glycoprotein
LF3	1	1	LF3_protein
LF2	1	1	LF2_protein
LF1	1	1	LF1_protein
RPMS1	1	1	RPMS1_protein
BILF1	1	1	membrane_protein
BALF5	1	1	DNA_polymerase
BALF4	1	1	glycoprotein_gp110_precursor
A73	1	1	A73_protein
BALF3	1	1	BALF3_protein
BARF0	1	1	putative_BARF0_protein
BALF2	1	1	major_DNA-binding_protein
BALF1	1	1	hypothetical_BALF1_protein
BARF1	1	1	BARF1_protein
BNLF2b	1	1	hypothetical_BNLF2B_protein
BNLF2a	1	1	hypothetical_BNLF2A_protein
LMP1	1	1	hypothetical_protein
