Protein	Beg	End	Reference
HHV4tp2_gp76	165881	166429	NC_007605
HHV4tp2_gp75	162410	165796	NC_007605
HHV4tp2_gp74	160335	162392	NC_007605
HHV4tp2_gp73	157775	160348	NC_007605
HHV4tp2_gp72	154725	157772	NC_007605
HHV4tp2_gp18	66746	67654	NC_007605
HHV4tp2_gp77	166530	167195	NC_007605
HHV4tp2_gp45	109289	109516	NC_007605
HHV4tp2_gp43_exon1	105323	105928	NC_007605
HHV4tp2_gp43_exon2	106057	107580	NC_007605
HHV4tp2_gp40	100372	102801	NC_007605
HHV4tp2_gp41	102746	104587	NC_007605
HHV4tp2_gp42	104490	105326	NC_007605
HHV4tp2_gp44	107679	108896	NC_007605
HHV4tp2_gp58	121860	126005	NC_007605
HHV4tp2_gp04	9659	10171	NC_007605
HHV4tp2_gp59	126004	128256	NC_007605
HHV4tp2_gp57	120939	121844	NC_007605
HHV4tp2_gp56	119666	120928	NC_007605
HHV4tp2_gp54	117539	117772	NC_007605
HHV4tp2_gp55	118901	119605	NC_007605
HHV4tp2_gp53	116883	117560	NC_007605
HHV4tp2_gp67	137245	138282	NC_007605
HHV4tp2_gp09	44776	46353	NC_007605
HHV4tp2_gp08	43807	44763	NC_007605
HHV4tp2_gp11	46719	47729	NC_007605
HHV4tp2_gp10	46352	46759	NC_007605
HHV4tp2_gp12	47636	49411	NC_007605
HHV4tp2_gp13	49335	49865	NC_007605
HHV4tp2_gp52	115393	116913	NC_007605
HHV4tp2_gp51	114405	115415	NC_007605
HHV4tp2_gp49	112483	113481	NC_007605
HHV4tp2_gp48	112035	112496	NC_007605
HHV4tp2_gp47	110867	112156	NC_007605
HHV4tp2_gp46	109471	110883	NC_007605
HHV4tp2_gp50_exon1	113480	114415	NC_007605
HHV4tp2_gp50_exon2	117754	118890	NC_007605
HHV4tp2_gp07	42204	42779	NC_007605
HHV4tp2_gp71	153187	154125	NC_007605
HHV4tp2_gp68	138317	139063	NC_007605
HHV4tp2_gp37	98500	98913	NC_007605
HHV4tp2_gp38	98895	99662	NC_007605
HHV4tp2_gp39	99676	100329	NC_007605
HHV4tp2_gp27	77276	79936	NC_007605
HHV4tp2_gp24	75484	76320	NC_007605
HHV4tp2_gp25	76393	76701	NC_007605
HHV4tp2_gp26	76771	77259	NC_007605
HHV4tp2_gp19	67745	68959	NC_007605
HHV4tp2_gp20	68964	70037	NC_007605
HHV4tp2_gp79	168330	168512	NC_007605
HHV4tp2_gp78	168024	168320	NC_007605
HHV4tp2_gp03	1736	5692	NC_007605
HHV4tp2_gp15	59363	63085	NC_007605
HHV4tp2_gp16	63084	64178	NC_007605
HHV4tp2_gp17	64253	66733	NC_007605
HHV4tp2_gp14	49906	59370	NC_007605
HHV4tp2_gp33	91908	93725	NC_007605
HHV4tp2_gp34	93724	94656	NC_007605
HHV4tp2_gp35	94844	96457	NC_007605
HHV4tp2_gp22	72103	74727	NC_007605
HHV4tp2_gp21	70589	71967	NC_007605
HHV4tp2_gp21	72074	72134	NC_007605
HHV4tp2_gp23	74770	75426	NC_007605
HHV4tp2_gp60	128243	129457	NC_007605
HHV4tp2_gp65	135636	136454	NC_007605
HHV4tp2_gp64	133954	135666	NC_007605
HHV4tp2_gp66	136465	138282	NC_007605
HHV4tp2_gp62	131576	133399	NC_007605
HHV4tp2_gp61	129454	131574	NC_007605
HHV4tp2_gp63	133398	134144	NC_007605
HHV4tp2_gp32_exon1	90724	90855	NC_007605
HHV4tp2_gp32_exon2	90941	91045	NC_007605
HHV4tp2_gp32_exon3	91197	91697	NC_007605
HHV4tp2_gp31	89959	90630	NC_007605
HHV4tp2_gp36	96492	98417	NC_007605
HHV4tp2_gp06	36201	37565	NC_007605
HHV4tp2_gp28_exon1	80447	82888	NC_007605
HHV4tp2_gp28_exon2	80026	80361	NC_007605
HHV4tp2_gp29_exon1	83074	83430	NC_007605
HHV4tp2_gp29_exon2	83509	86532	NC_007605
HHV4tp2_gp30_exon1	86654	87013	NC_007605
HHV4tp2_gp30_exon2	87088	89937	NC_007605
HHV4tp2_gp05_exon1	14391	14392	NC_007605
HHV4tp2_gp05_exon2	14542	14602	NC_007605
HHV4tp2_gp05_exon3	14684	14815	NC_007605
HHV4tp2_gp05_exon4	17607	17672	NC_007605
HHV4tp2_gp05_exon5	17754	17885	NC_007605
HHV4tp2_gp05_exon6	20677	20742	NC_007605
HHV4tp2_gp05_exon7	20824	20955	NC_007605
HHV4tp2_gp05_exon8	23747	23812	NC_007605
HHV4tp2_gp05_exon9	23894	24025	NC_007605
HHV4tp2_gp05_exon10	26817	26882	NC_007605
HHV4tp2_gp05_exon11	26964	27095	NC_007605
HHV4tp2_gp05_exon12	29887	29952	NC_007605
HHV4tp2_gp05_exon13	30034	30165	NC_007605
HHV4tp2_gp05_exon14	32957	33022	NC_007605
HHV4tp2_gp05_exon15	33104	33235	NC_007605
HHV4tp2_gp05_exon16	35441	35473	NC_007605
HHV4tp2_gp05_exon17	35558	35662	NC_007605
HHV4tp2_gp70	151769	153178	NC_007605
HHV4tp2_gp69	150519	151808	NC_007605
HHV4tp2_gp80_exon1	169188	169948	NC_007605
HHV4tp2_gp80_exon2	170025	170111	NC_007605
HHV4tp2_gp80_exon3	170190	170457	NC_007605
HHV4tp2_gp01_exon1	58	272	NC_007605
HHV4tp2_gp01_exon2	360	458	NC_007605
HHV4tp2_gp01_exon3	540	788	NC_007605
HHV4tp2_gp01_exon4	871	951	NC_007605
HHV4tp2_gp01_exon5	1026	1196	NC_007605
HHV4tp2_gp01_exon6	1280	1495	NC_007605
HHV4tp2_gp01_exon7	1574	1680	NC_007605
HHV4tp2_gp01_exon8	167587	167942	NC_007605
HHV4tp2_gp02_exon1	59	272	NC_007605
HHV4tp2_gp02_exon2	360	458	NC_007605
HHV4tp2_gp02_exon3	540	788	NC_007605
HHV4tp2_gp02_exon4	871	951	NC_007605
HHV4tp2_gp02_exon5	1026	1196	NC_007605
HHV4tp2_gp02_exon6	1280	1495	NC_007605
HHV4tp2_gp02_exon7	1574	1680	NC_007605
