Protein	Beg	End	Reference
BALF1	165881	166429	NC_009334
BALF2	162410	165796	NC_009334
BALF3	160335	162392	NC_009334
BALF4	157775	160348	NC_009334
BALF5	154725	157772	NC_009334
BaRF1	66746	67654	NC_009334
BARF1	166530	167195	NC_009334
BBLF1	109289	109516	NC_009334
BBLF2/BBLF3_exon1	105323	105928	NC_009334
BBLF2/BBLF3_exon2	106057	107580	NC_009334
BBLF4	100372	102801	NC_009334
BBRF1	102746	104587	NC_009334
BBRF2	104490	105326	NC_009334
BBRF3	107679	108896	NC_009334
BcLF1	121860	126005	NC_009334
BCRF1	9659	10171	NC_009334
BcRF1	126004	128256	NC_009334
BDLF1	120939	121844	NC_009334
BDLF2	119666	120928	NC_009334
BDLF3	117539	117772	NC_009334
BDLF3	118901	119605	NC_009334
BDLF4	116883	117560	NC_009334
BdRF1	137245	138282	NC_009334
BFLF1	44776	46353	NC_009334
BFLF2	43807	44763	NC_009334
BFRF1	46719	47729	NC_009334
BFRF1A	46352	46759	NC_009334
BFRF2	47636	49411	NC_009334
BFRF3	49335	49865	NC_009334
BGLF1	115393	116913	NC_009334
BGLF2	114405	115415	NC_009334
BGLF3	112483	113481	NC_009334
BGLF3.5	112035	112496	NC_009334
BGLF4	110867	112156	NC_009334
BGLF5	109471	110883	NC_009334
BGRF1/BDRF1_exon1	113480	114415	NC_009334
BGRF1/BDRF1_exon2	117754	118890	NC_009334
BHRF1	42204	42779	NC_009334
BILF1	153187	154125	NC_009334
BILF2	138317	139063	NC_009334
BKRF2	98500	98913	NC_009334
BKRF3	98895	99662	NC_009334
BKRF4	99676	100329	NC_009334
BLLF1	77276	79936	NC_009334
BLLF3	75484	76320	NC_009334
BLRF1	76393	76701	NC_009334
BLRF2	76771	77259	NC_009334
BMRF1	67745	68959	NC_009334
BMRF2	68964	70037	NC_009334
BNLF2a	168330	168512	NC_009334
BNLF2b	168024	168320	NC_009334
BNRF1	1736	5692	NC_009334
BOLF1	59363	63085	NC_009334
BORF1	63084	64178	NC_009334
BORF2	64253	66733	NC_009334
BPLF1	49906	59370	NC_009334
BRLF1	91908	93725	NC_009334
BRRF1	93724	94656	NC_009334
BRRF2	94844	96457	NC_009334
BSLF1	72103	74727	NC_009334
BSLF2/BMLF1_exon1	70589	71967	NC_009334
BSLF2/BMLF1_exon2	72074	72134	NC_009334
BSRF1	74770	75426	NC_009334
BTRF1	128243	129457	NC_009334
BVLF1	135636	136454	NC_009334
BVRF1	133954	135666	NC_009334
BVRF2	136465	138282	NC_009334
BXLF1	131576	133399	NC_009334
BXLF2	129454	131574	NC_009334
BXRF1	133398	134144	NC_009334
BZLF1_exon1	90724	90855	NC_009334
BZLF1_exon2	90941	91045	NC_009334
BZLF1	91197	91697	NC_009334
BZLF2	89959	90630	NC_009334
EBNA-1	96492	98417	NC_009334
EBNA-2	36201	37565	NC_009334
EBNA-3A_exon1	80447	82888	NC_009334
EBNA-3A_exon2	80026	80361	NC_009334
EBNA-3B_exon1	83074	83430	NC_009334
EBNA-3B_exon2	83509	86532	NC_009334
EBNA-3C_exon1	86654	87013	NC_009334
EBNA-3C_exon2	87088	89937	NC_009334
EBNA-LP_exon1	14391	14392	NC_009334
EBNA-LP_exon2	14542	14602	NC_009334
EBNA-LP_exon3	14684	14815	NC_009334
EBNA-LP_exon4	17607	17672	NC_009334
EBNA-LP_exon5	17754	17885	NC_009334
EBNA-LP_exon6	20677	20742	NC_009334
EBNA-LP_exon7	20824	20955	NC_009334
EBNA-LP_exon8	23747	23812	NC_009334
EBNA-LP_exon9	23894	24025	NC_009334
EBNA-LP_exon10	26817	26882	NC_009334
EBNA-LP_exon11	26964	27095	NC_009334
EBNA-LP_exon12	29887	29952	NC_009334
EBNA-LP_exon13	30034	30165	NC_009334
EBNA-LP_exon14	32957	33022	NC_009334
EBNA-LP_exon15	33104	33235	NC_009334
EBNA-LP_exon16	35441	35473	NC_009334
EBNA-LP_exon17	35558	35662	NC_009334
LF1	151769	153178	NC_009334
LF2	150519	151808	NC_009334
LMP-1_exon1	169188	169948	NC_009334
LMP-1_exon2	170025	170111	NC_009334
LMP-1_exon3	170190	170457	NC_009334
LMP-2A_exon1	58	272	NC_009334
LMP-2A_exon2	360	458	NC_009334
LMP-2A_exon3	540	788	NC_009334
LMP-2A_exon4	871	951	NC_009334
LMP-2A_exon5	1026	1196	NC_009334
LMP-2A_exon6	1280	1495	NC_009334
LMP-2A_exon7	1574	1680	NC_009334
LMP-2A_exon8	167587	167942	NC_009334
LMP-2B_exon1	59	272	NC_009334
LMP-2B_exon2	360	458	NC_009334
LMP-2B_exon3	540	788	NC_009334
LMP-2B_exon4	871	951	NC_009334
LMP-2B_exon5	1026	1196	NC_009334
LMP-2B_exon6	1280	1495	NC_009334
LMP-2B_exon7	1574	1680	NC_009334
