chr	-	NC_007605	1	0	171822	black
band	NC_007605	1.1	1.1	0	10000	white
band	NC_007605	1.1	1.1	10000	20000	black
band	NC_007605	1.1	1.1	20000	30000	white
band	NC_007605	1.1	1.1	30000	40000	black
band	NC_007605	1.1	1.1	40000	50000	white
band	NC_007605	1.1	1.1	50000	60000	black
band	NC_007605	1.1	1.1	60000	70000	white
band	NC_007605	1.1	1.1	70000	80000	black
band	NC_007605	1.1	1.1	80000	90000	white
band	NC_007605	1.1	1.1	90000	100000	black
band	NC_007605	1.1	1.1	100000	110000	white
band	NC_007605	1.1	1.1	110000	120000	black
band	NC_007605	1.1	1.1	120000	130000	white
band	NC_007605	1.1	1.1	130000	140000	black
band	NC_007605	1.1	1.1	140000	150000	white
band	NC_007605	1.1	1.1	150000	160000	black
band	NC_007605	1.1	1.1	160000	170000	white
band	NC_007605	1.1	1.1	170000	171822	black

