Genomes	T1_MM	T1_M	T1_MMR	T2_MM	T2_M	T2_MMR	Jijoye_Pct	Daudi_Pct
LN827545.1_Daudi_NC_007605	701	132039	0.005281	1554	130937	0.011729099	0	100
Daudi_CellLine_genome_fixed_assembly_Fixed_NC_007605	753	134313	0.005575052	1664	133099	0.012347603	0	100
Daudi_D100_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	743	130188	0.005674745	1592	129165	0.012175256	0	100
J10D90_Rep1_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	760	132468	0.005704507	1602	131454	0.012040043	10	90
J10D90_Rep2_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	792	133620	0.005892331	1829	132366	0.01362942	10	90
J25D75_Rep1_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	857	132447	0.006428914	1727	131405	0.012972088	25	75
J25D75_Rep2_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	834	132653	0.006247799	1716	131587	0.012872929	25	75
J50D50_Rep1_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	911	132709	0.006817842	1661	131776	0.012447822	50	50
J50D50_Rep2_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	841	131447	0.006357342	1625	130479	0.012300914	50	50
J75D25_Rep1_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	1189	133034	0.008858392	1533	132564	0.011432023	75	25
J75D25_Rep2_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	1161	129917	0.008857322	1469	129522	0.011214511	75	25
J90D10_Rep1_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	1121	130255	0.008532761	1119	130174	0.008522922	90	10
J90D10_Rep2_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	1028	127210	0.008016345	945	127015	0.00738512	90	10
Jijoye_CellLine_genome_fixed_assembly_Fixed_NC_007605	2037	133437	0.015036095	765	135132	0.005629263	100	0
Jijoye_CP_genome_fixed_assembly_Fixed_NC_007605	764	46139	0.016288937	326	46466	0.006967003	100	0
Jijoye_J100_PCRsWGA_genome_fixed_assembly_Fixed_NC_007605	1849	131317	0.013884926	774	132855	0.005792156	100	0
LN827800.1_Jijoye_NC_007605	2000	133878	0.014719086	784	135205	0.005765172	100	0
