gene	GeneLen	GenomesCovered	SynPerGenome	SynPerGenomePerKb	NonsynPerGenome	NonsynPerGenomePerKb
LMP2B	LMP2B	1137	111	2.74	2.41	2.54	2.24
BNRF1	BNRF1	3957	98	12.48	3.15	6.66	1.68
BCRF1	BCRF1	513	88	0.97	1.88	0.06	0.11
BCRF2	BCRF2	1152	0	0	0	0	0
EBNA-LP	EBNA-LP	1521	0	0	0	0	0
BWRF1	BWRF1	8064	0	0	0	0	0
EBNA2	EBNA2	1464	106	41.76	28.52	76.31	52.12
BHLF1	BHLF1	1983	9	5.63	2.84	13.48	6.80
BHRF1	BHRF1	576	113	1.37	2.38	0.12	0.22
BFLF2	BFLF2	957	107	3.90	4.08	1.92	2.00
BFLF1	BFLF1	1578	107	5.98	3.79	2.65	1.68
BFRF1A	BFRF1A	408	107	1.08	2.66	1.15	2.82
BFRF1	BFRF1	1011	107	2.64	2.61	1.09	1.08
BFRF2	BFRF2	1776	112	2.86	1.61	6.73	3.79
BFRF3	BFRF3	531	111	2.21	4.16	1.30	2.44
BPLF1	BPLF1	9450	110	28.91	3.06	23.86	2.53
BOLF1	BOLF1	3720	111	11.12	2.99	5.84	1.57
BORF1	BORF1	1095	106	3.74	3.41	1.43	1.31
BORF2	BORF2	2481	102	7.98	3.22	1.40	0.56
BaRF1	BaRF1	909	102	0.44	0.49	0.26	0.29
BMRF1	BMRF1	1215	106	1.33	1.09	0.22	0.18
BMRF2	BMRF2	1074	103	4.28	3.99	0.68	0.63
BMLF1	BMLF1	1317	112	4.78	3.63	1.06	0.80
BSLF2_BMLF1	BSLF2_BMLF1	1440	112	4.81	3.34	2.04	1.41
BSLF2	BSLF2	120	105	0.03	0.28	0.07	0.60
BSLF1	BSLF1	2625	87	9.14	3.48	3.70	1.41
BSRF1	BSRF1	657	93	2.15	3.27	0.10	0.16
BLLF3	BLLF3	837	89	0.60	0.71	1.63	1.95
BLRF1	BLRF1	309	97	0.18	0.57	0.04	0.13
BLRF2	BLRF2	489	97	2.28	4.66	0.41	0.84
BLLF1	BLLF1	2724	101	10.84	3.98	17.10	6.28
BLLF2	BLLF2	447	100	1.02	2.28	2.49	5.57
EBNA3A	EBNA3A	2835	93	35.82	12.64	58.93	20.79
EBNA3B	EBNA3B	2817	89	35.50	12.60	64.76	22.99
EBNA3C	EBNA3C	2979	100	50.12	16.82	97.13	32.61
BZLF2	BZLF2	672	112	3.17	4.72	2.33	3.47
BZLF1	BZLF1	738	115	4.03	5.47	4.82	6.53
BRLF1	BRLF1	1818	93	3.86	2.12	3.85	2.12
BRRF1	BRRF1	933	107	1.09	1.17	0.22	0.23
BRRF2	BRRF2	1614	104	6.04	3.74	9.68	6.00
EBNA1	EBNA1	1926	109	11.53	5.99	25.69	13.34
BKRF2	BKRF2	414	108	0.40	0.96	2.08	5.03
BKRF3	BKRF3	768	106	2.82	3.67	0.45	0.59
BKRF4	BKRF4	654	106	0.42	0.63	0.58	0.88
BBLF4	BBLF4	2430	107	14.15	5.82	6.34	2.61
BBRF1	BBRF1	1842	98	9.04	4.91	3.06	1.66
BBRF2	BBRF2	837	97	2.44	2.92	0.25	0.30
BBLF2-BBLF3	BBLF2-BBLF3	2172	96	9.95	4.58	7.02	3.23
BBRF3	BBRF3	1218	107	1.93	1.59	1.36	1.12
BBLF1	BBLF1	228	108	0.55	2.40	0.44	1.91
BGLF5	BGLF5	1413	107	2.59	1.83	4.00	2.83
BGLF4	BGLF4	1290	109	1.59	1.23	0.08	0.06
BGLF3.5	BGLF35	462	106	0.07	0.15	1.05	2.28
BGLF3	BGLF3	999	103	5.27	5.28	1.06	1.06
BGLF2	BGLF2	1011	110	2.26	2.23	0.73	0.72
BGLF1	BGLF1	1524	106	5.25	3.44	3.47	2.28
BDLF4	BDLF4	678	106	1.94	2.87	1.05	1.54
BDLF3	BDLF3	705	105	6.31	8.96	4.51	6.40
BDLF2	BDLF2	1263	109	1.66	1.31	2.29	1.82
BDLF1	BDLF1	906	109	1.38	1.52	0.15	0.17
BcLF1	BcLF1	4146	107	11.82	2.85	1.84	0.44
BcRF1	BcRF1	2253	110	1.12	0.50	2.09	0.93
BTRF1	BTRF1	1275	107	2.45	1.92	2.60	2.04
BXLF2	BXLF2	2121	108	4.45	2.10	0.69	0.33
BXLF1	BXLF1	1824	109	0.88	0.48	0.17	0.10
BXRF1	BXRF1	747	108	0.71	0.95	0.23	0.30
BVRF1	BVRF1	1713	108	1.15	0.67	0.50	0.29
BVLF1	BVLF1	819	107	0.39	0.48	0.40	0.49
BVRF2	BVRF2	1818	109	2.68	1.47	0.46	0.25
BdRF1	BdRF1	1038	107	2.20	2.12	0.40	0.39
BILF2	BILF2	747	99	1.94	2.60	0.25	0.34
